#Operator Name: 
#Experimental Name: 
#SampleDescription: 
#Excitation Wavelength: 784.91 nm
#Laser Current: 100 %
#Excitation Power: 75.52 mW
#ND Filter: 100 % (255/255)
#Spectrograph Center Wavelength: 800.00 cm-1
#Grating: 600 gr/mm
#Slit width: 50 um
#Exposure Time: 20 s
#Averaging: 5
#Readout speed: 2MHz
#Gain: High
#Readout port: Low Noise
#CCD temperature: -69
#Optical Line Shaping mode: OFF
#Objective Lens: NA 0.45 20x Plan Fluor
#Measurement Mode: Point
#X axis (wavenumber): Not Calibrated
#Wavenumber Shift compensation (cm-1): 6.2
#Measurement Time:8/4/2025 3:02:41 PM
#--------------------------------------
#

wn(8/4/2025 3:02:41 PM Index:3)	8/4/2025 3:02:41 PM Index:3	wn(8/4/2025 3:00:59 PM Index:2)	8/4/2025 3:00:59 PM Index:2	wn(8/4/2025 2:59:17 PM Index:1)	8/4/2025 2:59:17 PM Index:1	
180.486708504808	8900.599609375	180.486708504808	7989.39990234375	180.486708504808	6844.60009765625
181.467628538334	8651.7998046875	181.467628538334	8172.60009765625	181.467628538334	7121.60009765625
182.449291791087	8693.2001953125	182.449291791087	7930	182.449291791087	7036.7998046875
183.429905306741	9212.2001953125	183.429905306741	8177.7998046875	183.429905306741	6855.39990234375
184.410365687312	8477	184.410365687312	8117	184.410365687312	7002.7998046875
185.39156897477	8691.400390625	185.39156897477	8258.7998046875	185.39156897477	7177.2001953125
186.371723052876	8883	186.371723052876	7778.39990234375	186.371723052876	6792.7998046875
187.351724103504	8771.2001953125	187.351724103504	8057	187.351724103504	6723
188.331572162486	8574.400390625	188.331572162486	8106.2001953125	188.331572162486	6912.39990234375
189.313058158697	8574.2001953125	189.313058158697	7926.2001953125	189.313058158697	7056.7998046875
190.292600062323	8989.599609375	190.292600062323	7977.7998046875	190.292600062323	6732
191.271989081808	8382	191.271989081808	8268.7998046875	191.271989081808	6911.39990234375
192.25122525294	8917.7998046875	192.25122525294	8046.39990234375	192.25122525294	6938.7998046875
193.23120349897	8572	193.23120349897	7834.7998046875	193.23120349897	6679
194.210133941089	8690.7998046875	194.210133941089	7805.7998046875	194.210133941089	6822.7998046875
195.18891164219	8670	195.18891164219	8278.599609375	195.18891164219	6929.60009765625
196.16753663802	8613	196.16753663802	7758.60009765625	196.16753663802	6839.60009765625
197.146008964311	8460	197.146008964311	8021.2001953125	197.146008964311	6681.7998046875
198.124328656788	8702.2001953125	198.124328656788	7992.2001953125	198.124328656788	6927.60009765625
199.103389801196	8553	199.103389801196	7923.2001953125	199.103389801196	6871.60009765625
200.081404193728	8998.2001953125	200.081404193728	7884	200.081404193728	6757
201.059266059581	8376.400390625	201.059266059581	8016	201.059266059581	7148.2001953125
202.037869066124	8608	202.037869066124	7993.39990234375	202.037869066124	6425
203.015425846297	8794.599609375	203.015425846297	8055.60009765625	203.015425846297	7034
203.992830206824	8573.599609375	203.992830206824	7735.60009765625	203.992830206824	6867.60009765625
204.97008218335	8547.7998046875	204.97008218335	7896.2001953125	204.97008218335	6605.39990234375
205.947181811507	8970.400390625	205.947181811507	7949	205.947181811507	6860.7998046875
206.924129126919	8397.599609375	206.924129126919	7965	206.924129126919	6877
207.900924165197	8756	207.900924165197	7908	207.900924165197	6692
208.877566961941	8501.7998046875	208.877566961941	7919.60009765625	208.877566961941	6806.2001953125
209.854057552742	8584.2001953125	209.854057552742	7964.7998046875	209.854057552742	6902.2001953125
210.830395973177	8644	210.830395973177	8187	210.830395973177	6745.2001953125
211.806582258812	8405.400390625	211.806582258812	7777.7998046875	211.806582258812	6698.2001953125
212.782616445205	8757.7998046875	212.782616445205	7708.2001953125	212.782616445205	6854.7998046875
213.75939052954	8871.2001953125	213.75939052954	7938.60009765625	213.75939052954	6938.60009765625
