#Operator Name: 
#Experimental Name: 
#SampleDescription: 
#Excitation Wavelength: 784.91 nm
#Laser Current: 100 %
#Excitation Power: 75.64 mW
#ND Filter: 100 % (255/255)
#Spectrograph Center Wavelength: 800.00 cm-1
#Grating: 600 gr/mm
#Slit width: 50 um
#Exposure Time: 20 s
#Averaging: 5
#Readout speed: 2MHz
#Gain: High
#Readout port: Low Noise
#CCD temperature: -69
#Optical Line Shaping mode: OFF
#Objective Lens: NA 0.45 20x Plan Fluor
#Measurement Mode: Point
#X axis (wavenumber): Not Calibrated
#Wavenumber Shift compensation (cm-1): 6.2
#Measurement Time:8/4/2025 4:36:05 PM
#--------------------------------------
#

wn(8/4/2025 4:36:05 PM Index:3)	8/4/2025 4:36:05 PM Index:3	wn(8/4/2025 4:34:23 PM Index:2)	8/4/2025 4:34:23 PM Index:2	wn(8/4/2025 4:32:41 PM Index:1)	8/4/2025 4:32:41 PM Index:1	
180.486708504808	65126	180.486708504808	65132	180.486708504808	65139
181.467628538334	65126	181.467628538334	65132	181.467628538334	65139
182.449291791087	65126	182.449291791087	65132	182.449291791087	65139
183.429905306741	65126	183.429905306741	65132	183.429905306741	65139
184.410365687312	65126	184.410365687312	65132	184.410365687312	65139
185.39156897477	65126	185.39156897477	65132	185.39156897477	65139
186.371723052876	65126	186.371723052876	65132	186.371723052876	65139
187.351724103504	65126	187.351724103504	65132	187.351724103504	65139
188.331572162486	65126	188.331572162486	65132	188.331572162486	65139
189.313058158697	65126	189.313058158697	65132	189.313058158697	65139
190.292600062323	65126	190.292600062323	65132	190.292600062323	65139
191.271989081808	65126	191.271989081808	65132	191.271989081808	65139
192.25122525294	65126	192.25122525294	65132	192.25122525294	65139
193.23120349897	65126	193.23120349897	65132	193.23120349897	65139
194.210133941089	65126	194.210133941089	65132	194.210133941089	65139
195.18891164219	65126	195.18891164219	65132	195.18891164219	65139
196.16753663802	65126	196.16753663802	65132	196.16753663802	65139
197.146008964311	65126	197.146008964311	65132	197.146008964311	65139
198.124328656788	65126	198.124328656788	65132	198.124328656788	65139
199.103389801196	65126	199.103389801196	65132	199.103389801196	65139
200.081404193728	65126	200.081404193728	65132	200.081404193728	65139
201.059266059581	65126	201.059266059581	65132	201.059266059581	65139
202.037869066124	65126	202.037869066124	65132	202.037869066124	65139
203.015425846297	65126	203.015425846297	65132	203.015425846297	65139
203.992830206824	65126	203.992830206824	65132	203.992830206824	65139
204.97008218335	65126	204.97008218335	65132	204.97008218335	65139
205.947181811507	65126	205.947181811507	65132	205.947181811507	65139
206.924129126919	65126	206.924129126919	65132	206.924129126919	65139
207.900924165197	65126	207.900924165197	65132	207.900924165197	65139
208.877566961941	65126	208.877566961941	65132	208.877566961941	65139
209.854057552742	65126	209.854057552742	65132	209.854057552742	65139
210.830395973177	65126	210.830395973177	65132	210.830395973177	65139
211.806582258812	65126	211.806582258812	65132	211.806582258812	65139
212.782616445205	65126	212.782616445205	65132	212.782616445205	65139
213.75939052954	65126	213.75939052954	65132	213.75939052954	65139
214.734228662433	65126	214.734228662433	65132	214.734228662433	65139
215.709806764324	65126	215.709806764324	65132	215.709806764324	65139
216.685232909087	65126	216.685232909087	65132	216.685232909087	65139
217.660507132221	65126	217.660507132221	65132	217.660507132221	65139
218.635629469218	65126	218.635629469218	65132	218.635629469218	65139
219.610599955553	65126	219.610599955553	65132	219.610599955553	65139
220.584527636895	65126	220.584527636895	65132	220.584527636895	65139
221.559194667025	65126	221.559194667025	65132	221.559194667025	65139
222.533709952831	65126	222.533709952831	65132	222.533709952831	65139
223.508073529752	65126	223.508073529752	65132	223.508073529752	65139
224.481394997971	65126	224.481394997971	65132	224.481394997971	65139
225.456345698611	65126	225.456345698611	65132	225.456345698611	65139
226.430254361363	65126	226.430254361363	65132	226.430254361363	65139
227.404011456854	65126	227.404011456854	65132	227.404011456854	65139
228.376727139406	65126	228.376727139406	65132	228.376727139406	65139
229.350181344967	65126	229.350181344967	65132	229.350181344967	65139
230.32348408934	65126	230.32348408934	65132	230.32348408934	65139
231.295745941981	65126	231.295745941981	65132	231.295745941981	65139
232.268746008373	65126	232.268746008373	65132	232.268746008373	65139
233.240705530234	65126	233.240705530234	65132	233.240705530234	65139
234.213403059814	65126	234.213403059814	65132	234.213403059814	65139
235.185949304765	65126	235.185949304765	65132	235.185949304765	65139
236.157455525739	65126	236.157455525739	65132	236.157455525739	65139
237.130588081927	65126	237.130588081927	65132	237.130588081927	65139
238.101792186433	65126	238.101792186433	65132	238.101792186433	65139
239.073733783807	65126	239.073733783807	65132	239.073733783807	65139
240.044636050732	65126	240.044636050732	65132	240.044636050732	65139
241.016275604788	65126	241.016275604788	65132	241.016275604788	65139
241.98687617482	65126	241.98687617482	65132	241.98687617482	65139
242.958213826332	65126	242.958213826332	65132	242.958213826332	65139
243.928512840072	65126	243.928512840072	65132	243.928512840072	65139
244.898661197276	65126	244.898661197276	65132	244.898661197276	65139
245.869546327691	65126	245.869546327691	65132	245.869546327691	65139
246.839393339309	65126	246.839393339309	65132	246.839393339309	65139
247.809976918701	65126	247.809976918701	65132	247.809976918701	65139
248.780409706353	65126	248.780409706353	65132	248.780409706353	65139
249.749804893954	65126	249.749804893954	65132	249.749804893954	65139
250.719936341284	65126	250.719936341284	65132	250.719936341284	65139
251.689030534126	65126	251.689030534126	65132	251.689030534126	65139
252.657974350939	65126	252.657974350939	65132	252.657974350939	65139
253.627654119722	65126	253.627654119722	65132	253.627654119722	65139
254.59629715196	65126	254.59629715196	65132	254.59629715196	65139
255.564789913164	65126	255.564789913164	65132	255.564789913164	65139
256.533132438299	65126	256.533132438299	65132	256.533132438299	65139
257.502210505383	65126	257.502210505383	65132	257.502210505383	65139
258.470252525862	65126	258.470252525862	65132	258.470252525862	65139
259.438144415137	65126	259.438144415137	65132	259.438144415137	65139
260.406771539045	65126	260.406771539045	65132	260.406771539045	65139
261.374363133391	65126	261.374363133391	65132	261.374363133391	65139
262.3418047013	65126	262.3418047013	65132	262.3418047013	65139
263.309981196715	65126	263.309981196715	65132	263.309981196715	65139
264.277122679228	65126	264.277122679228	65132	264.277122679228	65139
265.244114239975	65126	265.244114239975	65132	265.244114239975	65139
266.21095591381	65126	266.21095591381	65132	266.21095591381	65139
267.177647735582	65126	267.177647735582	65132	267.177647735582	65139
268.144189740126	65126	268.144189740126	65132	268.144189740126	65139
269.110581962268	65126	269.110581962268	65132	269.110581962268	65139
270.076824436823	65126	270.076824436823	65132	270.076824436823	65139
271.043801020962	65126	271.043801020962	65132	271.043801020962	65139
272.009743967814	65126	272.009743967814	65132	272.009743967814	65139
272.97553727149	65126	272.97553727149	65132	272.97553727149	65139
273.941180966758	65126	273.941180966758	65132	273.941180966758	65139
274.906675088379	65126	274.906675088379	65132	274.906675088379	65139
275.872019671106	65126	275.872019671106	65132	275.872019671106	65139
276.837214749674	65126	276.837214749674	65132	276.837214749674	65139
277.802260358814	65126	277.802260358814	65132	277.802260358814	65139
278.767156533242	65126	278.767156533242	65132	278.767156533242	65139
279.731903307664	65126	279.731903307664	65132	279.731903307664	65139
280.695618262243	65126	280.695618262243	65132	280.695618262243	65139
281.66006647734	65126	281.66006647734	65132	281.66006647734	65139
282.625247577806	65126	282.625247577806	65132	282.625247577806	65139
283.589397099058	65126	283.589397099058	65132	283.589397099058	65139
284.55339739368	65126	284.55339739368	65132	284.55339739368	65139
285.516366724501	65126	285.516366724501	65132	285.516366724501	65139
286.480068806222	65126	286.480068806222	65132	286.480068806222	65139
287.443621765173	65126	287.443621765173	65132	287.443621765173	65139
288.407025635963	65126	288.407025635963	65132	288.407025635963	65139
289.369399226871	65126	289.369399226871	65132	289.369399226871	65139
290.332505161452	65126	290.332505161452	65132	290.332505161452	65139
291.295462111608	65126	291.295462111608	65132	291.295462111608	65139
292.258270111904	65126	292.258270111904	65132	292.258270111904	65139
293.220048515559	65126	293.220048515559	65132	293.220048515559	65139
294.183439401142	65126	294.183439401142	65132	294.183439401142	65139
295.145800759161	65126	295.145800759161	65132	295.145800759161	65139
296.107133032639	65126	296.107133032639	65132	296.107133032639	65139
297.069196937882	65126	297.069196937882	65132	297.069196937882	65139
298.03023209962	65126	298.03023209962	65132	298.03023209962	65139
298.991998689973	65126	298.991998689973	65132	298.991998689973	65139
299.952736877687	65126	299.952736877687	65132	299.952736877687	65139
300.914206290952	65126	300.914206290952	65132	300.914206290952	65139
301.875527099352	65126	301.875527099352	65132	301.875527099352	65139
302.835820016169	65100.80078125	302.835820016169	65132	302.835820016169	65139
303.796843854056	65126	303.796843854056	65132	303.796843854056	65139
304.75771919036	65126	304.75771919036	65132	304.75771919036	65139
305.717567145763	65126	305.717567145763	65132	305.717567145763	65139
306.678145717937	65126	306.678145717937	65132	306.678145717937	65139
307.6376972494	65126	307.6376972494	65132	307.6376972494	65139
308.597979194903	65126	308.597979194903	65132	308.597979194903	65139
309.557234439721	64984.6015625	309.557234439721	65132	309.557234439721	65139
310.51721989593	65126	310.51721989593	65132	310.51721989593	65139
311.476178991308	65126	311.476178991308	65132	311.476178991308	65139
312.434990131133	65126	312.434990131133	65132	312.434990131133	65139
313.394531178579	65126	313.394531178579	65132	313.394531178579	65139
314.353046374586	65126	314.353046374586	65132	314.353046374586	65139
315.312291275777	65126	315.312291275777	65132	315.312291275777	65139
316.271388087513	65126	316.271388087513	65132	316.271388087513	65139
317.229459556978	64971	317.229459556978	65132	317.229459556978	65139
318.187383276259	65126	318.187383276259	65132	318.187383276259	65139
319.145159279527	65126	319.145159279527	65132	319.145159279527	65139
320.103664482293	65126	320.103664482293	65132	320.103664482293	65139
321.061145020833	65126	321.061145020833	65132	321.061145020833	65139
322.018477945856	65126	322.018477945856	65132	322.018477945856	65139
322.975663291498	65126	322.975663291498	65132	322.975663291498	65139
323.932701091879	65126	323.932701091879	65132	323.932701091879	65139
324.89046758668	64976	324.89046758668	65132	324.89046758668	65139
325.848086334239	65126	325.848086334239	65132	325.848086334239	65139
326.804681433465	65126	326.804681433465	65132	326.804681433465	65139
327.761129123879	65126	327.761129123879	65132	327.761129123879	65139
328.717429439554	65018	328.717429439554	65132	328.717429439554	65139
329.673582414549	65126	329.673582414549	65132	329.673582414549	65139
330.629588082913	65126	330.629588082913	65132	330.629588082913	65139
331.585446478684	65126	331.585446478684	65132	331.585446478684	65139
332.541157635891	65126	332.541157635891	65132	332.541157635891	65139
333.496721588554	65126	333.496721588554	65132	333.496721588554	65139
334.452138370678	65126	334.452138370678	65132	334.452138370678	65139
335.407408016259	65126	335.407408016259	65132	335.407408016259	65139
336.363405146225	64636.6015625	336.363405146225	65132	336.363405146225	65139
337.318380486009	65126	337.318380486009	65132	337.318380486009	65139
338.273208791214	65126	338.273208791214	65132	338.273208791214	65139
339.227890095788	65126	339.227890095788	65132	339.227890095788	65139
340.182424433682	65126	340.182424433682	65132	340.182424433682	65139
341.136811838827	65055.80078125	341.136811838827	65132	341.136811838827	65139
342.091052345148	65126	342.091052345148	65132	342.091052345148	65139
343.045145986556	65126	343.045145986556	65132	343.045145986556	65139
343.998219286448	65126	343.998219286448	65132	343.998219286448	65139
344.952019434146	65126	344.952019434146	65132	344.952019434146	65139
345.905672818579	64739.80078125	345.905672818579	65132	345.905672818579	65139
346.860052580974	65126	346.860052580974	65132	346.860052580974	65139
347.81341240616	65126	347.81341240616	65132	347.81341240616	65139
348.765752730947	65126	348.765752730947	65132	348.765752730947	65139
349.71881940093	65126	349.71881940093	65132	349.71881940093	65139
350.6717394769	64949.6015625	350.6717394769	65132	350.6717394769	65139
351.624512992679	65126	351.624512992679	65132	351.624512992679	65139
352.576267680057	65126	352.576267680057	65132	352.576267680057	65139
353.528748311002	65126	353.528748311002	65132	353.528748311002	65139
354.481082483122	64940.6015625	354.481082483122	65132	354.481082483122	65139
355.432398330364	65091	355.432398330364	65132	355.432398330364	65139
356.384439820195	65027.19921875	356.384439820195	65132	356.384439820195	65139
357.337206584245	65126	357.337206584245	65132	357.337206584245	65139
358.288083760939	64681.3984375	358.288083760939	65132	358.288083760939	65139
359.239686279334	65124	359.239686279334	65132	359.239686279334	65139
360.191142541382	65126	360.191142541382	65132	360.191142541382	65139
361.14158148464	64414.3984375	361.14158148464	65132	361.14158148464	65139
362.092745468992	65126	362.092745468992	65132	362.092745468992	65139
363.042892469482	65126	363.042892469482	65132	363.042892469482	65139
363.99376431079	65126	363.99376431079	65132	363.99376431079	65139
364.943619503005	64945.3984375	364.943619503005	65132	364.943619503005	65139
365.894199335846	65126	365.894199335846	65132	365.894199335846	65139
366.843762854192	64862.3984375	366.843762854192	65132	366.843762854192	65139
367.794920973229	64899.3984375	367.794920973229	65132	367.794920973229	65139
368.744192818516	65009.6015625	368.744192818516	65132	368.744192818516	65139
369.694188904201	65126	369.694188904201	65132	369.694188904201	65139
370.643169344254	65126	370.643169344254	65132	370.643169344254	65139
371.592004198719	64827.80078125	371.592004198719	65132	371.592004198719	65139
372.541562993736	65068	372.541562993736	65132	372.541562993736	65139
373.490106644147	64852.3984375	373.490106644147	65132	373.490106644147	65139
374.438504809468	65126	374.438504809468	65132	374.438504809468	65139
375.387626615682	64041.3984375	375.387626615682	65132	375.387626615682	65139
376.335733777947	65126	376.335733777947	65132	376.335733777947	65139
377.284564381402	65047.19921875	377.284564381402	65132	377.284564381402	65139
378.233249367064	63556	378.233249367064	65132	378.233249367064	65139
379.180920209214	64981.3984375	379.180920209214	65132	379.180920209214	65139
380.128445767024	65126	380.128445767024	65132	380.128445767024	65139
381.075826073902	64674	381.075826073902	65132	381.075826073902	65139
382.023929323121	64904	382.023929323121	65132	382.023929323121	65139
382.971019095254	64660.80078125	382.971019095254	65132	382.971019095254	65139
383.917963716642	64818.3984375	383.917963716642	65132	383.917963716642	65139
384.864763220654	64901.3984375	384.864763220654	65132	384.864763220654	65139
385.811417640645	64534.3984375	385.811417640645	65132	385.811417640645	65139
386.758794504727	64293.19921875	386.758794504727	65132	386.758794504727	65139
387.706026085534	64350.19921875	387.706026085534	65132	387.706026085534	65139
388.652245187744	64871.80078125	388.652245187744	65132	388.652245187744	65139
389.598319339317	64573.6015625	389.598319339317	65132	389.598319339317	65139
390.544248573553	63740.80078125	390.544248573553	65132	390.544248573553	65139
